time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.00663910542819,-0.0114423456726,10.0101686573,0.160025237352,6.11309881067,0.0,-1.07214438506,-0.381544369688,-0.511939687263,20.2943967594,-28.7518493607,0.0,1534.72945499,305.907366751,344.9892349,1295.2744519
0.12000000000000001,-0.0790693506214,0.0219108618552,10.0252104143,1.44143113652,5.23580489113,0.0,-1.85796855855,1.42132577487,-0.934505726029,39.167348931,-44.528868897,0.0,1620.94873722,489.625320513,176.629005959,1479.80791732
0.18,-0.0937006997665,0.133949528676,10.0042997923,1.05785992206,4.79638168839,0.0,1.15656994543,1.00967444621,0.351804963893,48.2836942933,-47.9769131027,0.0,1597.74960944,483.39018972,162.281625323,1585.25619194
0.23999999999999996,0.0953454948577,0.181352306322,10.0287756076,2.47199087635,4.01493496794,0.0,5.1268797726,0.646030491539,0.484894845898,43.2656209735,-51.2750392212,0.0,1686.01387962,465.621021031,130.737686075,1311.36060089
0.3,0.517329211721,0.208428064355,10.0941289932,5.54851782411,2.77102947588,0.0,8.72761697145,1.53642656429,1.24369094235,44.7789091356,-54.318560345,0.0,1764.82611606,433.404708202,122.040592111,1416.05923718
0.36000000000000004,0.953868000289,0.363958925177,10.0926284862,1.98458947029,5.82900940154,0.0,5.54378535354,3.74549174551,-0.0997250561405,44.2947944393,-53.9786190955,0.0,1804.77542653,652.128816708,108.92785951,1382.48817122
0.4200000000000001,1.36513324357,0.618217509623,10.0235220565,0.453629980746,3.8617098505,0.0,8.74416494313,3.77872017434,-1.7192666459,47.5044999499,-51.5715837794,0.0,1675.11496724,509.745120959,135.673110258,1513.14173024
0.48000000000000015,1.95258254132,0.868205996919,9.8618021254,6.07872611957,4.99575651291,0.0,10.5562027106,5.40077973103,-3.71437651646,35.3387625511,-56.1387006236,0.0,1892.23021737,660.400929275,108.6594641,936.497675849
0.5400000000000001,2.71430006119,1.16806953697,9.63274033974,2.00169416667,2.53740395266,0.0,14.3480767016,3.73054717663,-4.49947216894,35.9597839484,-54.1343896498,0.0,1876.46571743,837.156779853,104.479384423,1135.98867595
0.6000000000000002,3.5710298079,1.32518697466,9.32717742104,4.8914518694,4.63503715192,0.0,15.4403336153,1.65140418819,-6.53592703384,37.8903298484,-59.1926310854,0.0,1946.09447189,549.138954417,111.855505256,1212.6045069
0.6600000000000003,4.57887412542,1.45105891452,8.86735008831,0.945856822982,1.13329329529,0.0,16.4297991397,2.31288739425,-9.57501830788,37.2278036365,-59.7338770378,0.0,1979.49027398,660.455976521,103.342911328,1157.74866354
0.7200000000000003,5.5027900296,1.55913229699,8.31045973232,6.04431784531,3.83355977417,0.0,16.5113522823,0.750366477048,-9.61865544073,46.2112627599,-59.8990051533,0.0,1976.20643085,639.681486622,103.274327336,1522.84441019
0.7800000000000004,6.52096079165,1.56070288998,7.65063809426,3.51620096018,0.627562909219,0.0,15.7102763625,-1.0107995807,-11.3792942264,43.8937833759,-58.6351868391,0.0,1984.58286553,779.286939978,101.315113878,1353.07885532
0.8400000000000004,7.43452861788,1.4331723255,6.92162410384,1.64322843125,3.63851873148,0.0,16.8265902515,-2.79925811187,-11.8513631521,46.8506872157,-57.6420262887,0.0,1961.99837915,792.723767533,101.830674514,1489.00524036
0.9000000000000005,8.44702009189,1.16925121239,6.23976576158,4.76866979969,0.232695923859,0.0,15.0617759994,-5.0114173401,-11.1356878458,45.5138991556,-57.207663013,0.0,1985.00889884,871.257392062,101.26431436,1413.21795319
0.9600000000000005,9.37807346226,0.747977380109,5.58298014315,1.2161950452,3.17062609076,0.0,17.3319524924,-7.90195379694,-11.1653348328,45.509190154,-57.9132383164,0.0,1969.24114899,775.922273827,101.473111076,1423.94032377
1.0200000000000005,10.364324708,0.170704956948,4.87009366177,4.10111622391,5.98715201795,0.0,14.3516710583,-10.1917195917,-12.9569152803,44.5464883178,-57.7730893888,0.0,1990.17850842,843.948811881,101.368752037,1385.68045996
1.0800000000000005,11.2710770708,-0.557201017553,4.05441460196,0.599028094322,4.02668012676,0.0,16.654727514,-13.5268485231,-13.1248061206,45.2288707185,-60.450341447,0.0,1986.19880333,592.322383879,100.691299294,1420.95558072
1.1400000000000006,12.3025575928,-1.43892029966,3.24551735504,3.92795742509,0.619905439239,0.0,16.1601127443,-15.5166578946,-13.135853836,43.3757360364,-61.5012897283,0.0,1996.93719416,539.138646885,100.298280112,1340.47821533
1.2000000000000006,13.2422033693,-2.38111893568,2.41497383486,3.4680591797,3.31541019148,0.0,17.4079964497,-15.2330283851,-13.8794915648,53.8553396867,-60.8925961052,0.0,1997.04292673,620.392776559,100.320995687,1743.55074535
1.2600000000000007,14.2812667529,-3.20642944082,1.65474463617,0.488888129891,0.689396523405,0.0,15.6075924263,-12.6008975176,-13.035807173,53.1945716969,-58.8121052374,0.0,1997.84142695,806.32954753,100.625322686,1659.84483937
1.3200000000000007,15.1486493098,-3.9577000678,0.963743352677,2.83688551114,4.43182956861,0.0,14.9365400185,-11.6054397501,-10.6124596048,58.1857489811,-60.9869028709,0.0,1997.83312877,583.71249482,100.561160973,1839.54217043
1.3800000000000008,16.1614059689,-4.59443079754,0.293247154649,1.30113809794,2.55423710262,0.0,17.696060237,-9.75082176144,-13.545910594,55.7101573089,-54.9918939013,0.0,1994.70380313,1060.94443176,101.862513233,1730.77078821
